epoch,train_loss,eval_loss,eval_eer,eval_threshold,is_best,best_eer_so_far
0,0.355947,0.075035,0.499843,0.977736,1,0.499843
1,0.145531,0.010108,0.499843,0.897301,0,0.499843
2,0.084412,0.006440,0.499843,0.676138,0,0.499843
3,0.060350,0.018483,0.499843,0.109083,0,0.499843
4,0.043349,0.003630,0.499843,0.235883,0,0.499843
5,0.031441,0.002481,0.499843,0.932231,0,0.499843
6,0.021636,0.002712,0.499843,0.102675,0,0.499843
7,0.014518,0.000952,0.499843,0.473179,0,0.499843
8,0.015524,0.001213,0.499843,0.299312,0,0.499843
9,0.012741,0.000671,0.499843,0.664997,0,0.499843
